name,duration,genre,release_date,directors,stars
A Madea Christmas: The Play (Blu-ray),153 min,"Holiday, Comedy",11/22/2011,Tyler Perry,"Tony Grant, Maurice Lauchner, Ashley Davis, Tyler Perry, Cassi Davis, Cheryl ""Pepsii"" Riley, Chandra Currelley-Young, Cheryl Pepsii Riley"
Matrix / Matrix Reloaded / Matrix Revolutions (Blu-ray),403,Sci-Fi & Fantasy,09/30/2014,,
Rikki-Tikki-Tavi (DVD),60 min,Anime & Animation,01/25/2005,Chuck Jones,"June Foray, Sheb Menken, Len Weinrib, Michael LeClair, Les Tremayne, Mel Blanc"
Marvel's The Avengers (DVD),143 min,Action & Adventure,09/25/2012,Joss Whedon,"Chris Hemsworth, Mark Ruffalo, Robert Downey Jr., Jeremy Renner, Stellan Skarsgard, Samuel L. Jackson, Robert Downey, Jr., Scarlett Johansson, Chris Evans"
Isle Of Dogs (Blu-ray + DVD + Digital),101 min,Anime & Animation,,Wes Anderson,"Bryan Cranston,Koyu Rankin,Edward Norton"
The A-Team (DVD),118 min,Action & Adventure,12/14/2010,Joe Carnahan,"Liam Neeson, Yul Vazquez, Sharlto Copley, Corey Burton, Quinton ""Rampage"" Jackson, Jessica Biel, Bradley Cooper"
Lucky Seven (DVD),90 min,Comedy,02/03/2004,Harry Winer,"Lochlyn Munro, Preston Cook, Brian Markinson, Aaron Douglas, Kimberly Williams, Jennifer Copping, Emily Holmes, Patrick Dempsey, Brianna Mameli, Kimberly Williams-Paisley, Brad Rowe"
The Bible: The Epic Miniseries (DVD),440,"Religion & Spirituality, Action & Adventure",04/02/2013,Christopher Spencer,"Darwin Shaw, Sebastian Knapp, Greg Hicks, Andrew Scarborough, Lisa Gerrard, Amber Rose Revah, Andrew Brooke, Simon Kunz, Fraser Ayres, Louise Delamere, Joe Wreddon, Keith David, Diogo Morgado, Roma Downey, Adrian Schiller, Matthew Gravelle, Paul Brightwell"
Love & Basketball (Blu-ray),124 min,Drama,02/03/2015,Gina Prince-Bythewood,"Sanaa Lathan, Alfre Woodard, Omar Epps, Dennis Haysbert, Debbi Morgan"
The Lucille Ball RKO Comedy Collection Volume 1 (DVD),214.00 min,Comedy,09/23/2011,Edward F. Cline,"Charles Halton, Fritz Feld, June Travis, Charlie McCarthy, Joe Penner, Mantan Moreland, Isabel Randolph, Jed Prouty, Walter Baldwin, Florence Lake, Edith Craig, Harlow Wilcox, Granville Bates, Spencer Charters, Arthur Stone, Lucille Ball, Neil Hamilton, Elliott Sullivan, Bradley Page, Tom Kennedy, Edgar Bergen, Frank M. Thomas, Ted Oliver, Lee Bonnell, Marian Jordan, Jack Carson, George Irving, Dick Elliott, Margaret Armstrong, Dorothy Lovett, Richard Lane, Murray Alper, Lee Bowman, James Ellison, Jim Jordan, Harold Peary"
Dennis the Menace (Special Edition) (DVD),94 min,Comedy,11/13/2007,Nick Castle Jr.,"Christopher Lloyd, Mason Gamble, Joan Plowright, Walter Matthau, Lea Thompson"
Night Train to Georgia (DVD),84 mins.,Music & Performance,,,Jason Aldean
Lost: The Complete Fourth Season (DVD),561 min,Anime & Animation,06/07/2016,,"Evangeline Lilly, Josh Holloway"
Romancing The Stone (Blu-ray),105 min,"Comedy, Action & Adventure",10/14/2008,Robert Zemeckis,"Alfonso Arau, Danny De Vito, Jose Chavez, Danny DeVito, Zack Norman, Kathleen Turner, Michael Douglas"
Saving Private Ryan (Blu-ray),169 min,Drama,05/04/2010,Steven Spielberg,"Tom Hanks, Jeremy Davies, Ed Burns, Vin Diesel, Tom Brown, Joerg Stadler, Tom Sizemore, Edward Burns"
PRIMITIVE LOVE/MONDO BALORDO,164,"Drama, Comedy",11/27/2001,Roberto Bianchi Montero,"Jayne Mansfield, Mickey Hargitay, Carlo Kechler, Ciccio Ingrassia, Franco Franchi"
Finders Keepers (DVD),96 min,"Sci-Fi & Fantasy, Drama",,Richard Lester,"Beverly D'Angelo, Michael O'Keefe, Louis Gossett Jr."
Resident Evil Collection (DVD),,"Special Interests, Action & Adventure",02/06/2013,Russell Mulcahy,"Ashanti, Matthew Marsden, Mike Epps, Ali Larter, Linden Ashby, Oded Fehr, Spencer Locke, Christopher Egan, Iain Glen, Jason O'Mara, Milla Jovovich, Joe Hursley"
The Incredible Mr. Limpet (DVD),99 min,Anime & Animation,11/03/2009,"Arthur Lubin, William Tytle","Don Knotts, Carole Cook, Jack Weston, Andrew Duggan, Larry Keating, Elizabeth MacRae, Paul Frees, Charles Meredith, Oscar Beregi"
Dr. Seuss' Horton Hears A Who! (DVD + Digital HD),86 mins.,"Comedy, Anime & Animation, Action & Adventure",06/21/2016,,
Toby Tyler (DVD),95 min,Drama,08/02/2005,Charles Barton,"Kevin Corcoran, Henry Calvin, Bob Sweeney, Richard Eastham, Dennis Olivieri, Gene Sheldon"
The Incredible Shrinking Woman,,"Sci-Fi & Fantasy, Comedy",,Joel Schumacher,"James McMullan, Mike Douglas, Richard A Baker, Ned Beatty, Justin Dana, Henry Gibson, Maria Smith, Lily Tomlin, Shelby Balik, Charles Grodin, Elizabeth Wilson"
The Last Word,108 min,"Sci-Fi & Fantasy, Comedy",,Mark Pellington,"Amanda Seyfried, Shirley MacLaine"
FM (DVD),104 min,"Sci-Fi & Fantasy, Drama",,John A. Alonzo,"James Keach, Alex Karras, Cassie Yates, Eileen Brennan, Martin Mull, Cleavon Little, Joe Smith, Michael Brandon, Jay Fenichel, Norman Lloyd"
Coma (DVD),114 min,Mystery & Suspense,11/02/1999,Michael Crichton,"James Keane, Barbara Hershey, John Fleck, Genevi ve Bujold, Richard Widmark, Robert Duvall, Frederic Forrest, Rip Torn, Jack Betts, Vondie Curtis-Hall, Geneviève Bujold, Michael Douglas, John Diehl, Raymond J. Barry, John Fink, Genevieve Bujold, Elizabeth Ashley"
Arnold Schwarzenegger: Comedy Favorites Collection (DVD),329,Comedy,09/18/2007,Ivan Reitman,"Antoinette Peragine, Penelope Ann Miller, Christian Cousins, Cassandra Wilson, Joseph Cousins, Arnold Schwarzenegger, Danny De Vito, Merle Kennedy, Danny DeVito, Park Overall, Christopher Meloni, Linda Hunt, Judy Collins, Frank Langella, Richard Portnow, Welker White, Pamela Reed, Jayne Brook, Hugh Aodh O'Brien, James Eckhouse, Mindy Seeger, Emma Thompson, Aida Turturro, Alix Koromzay, Cathy Moriarty-Gentile, Richard Tyson, Megan Cavanagh, Tom Kurlander, Carroll Baker, Betty Lou Henson"
Peter Gabriel: Secret World Live (Blu-ray),135 min,Music & Performance,,François Girard,"The New Blood Orchestra, Peter Gabriel"
QUEEN-DAYS OF OUR LIVES (BLU RAY) (Blu-ray),221 min,Music & Performance,,Matt O'Casey,"Queen, Brian May, John Deacon, Freddie Mercury, Roger Taylor"
Hope Floats (DVD),114,Romance,01/01/2003,Forest Whitaker,"Sandra Bullock, Harry Connick Jr., Gena Rowlands"
The Hangover Trilogy (DVD),,"Sci-Fi & Fantasy, Comedy",,,
Cinderella (DVD),76 min,Music & Performance,12/14/2004,Ralph Nelson,"Ilka Chase, Kaye Ballard, Julie Andrews, Jon Cypher, Edie Adams, Dorothy Stickney, Alice Ghostley, Howard Lindsay"
Madea's Family Reunion (Blu-ray),110 min,Comedy,11/23/2010,Tyler Perry,"Boris Kodjoe, Jenifer Lewis, Lynn Whitfield, Tyler Perry, Lisa Arrindell Anderson, Henry Simmons, Blair Underwood"
Elvis Lives: The 25th Anniversary Concert (DVD),86 mins.,Music & Performance,03/06/2007,Randy Johnson,Elvis Presley
Dirty Dancing / Dirty Dancing: Havana Nights (DVD),210,Drama,02/01/2005,Guy Ferland,"Jerry Orbach, Patrick Swayze, Diego Luna, Romola Garai, Jennifer Grey"
Die Zauberflote (DVD),160 min,"Foreign, Music & Performance",09/23/2003,Sue Judd,"Diana Damrau, Will Hartmann, Simon Keenlyside, Franz-Josef Selig, Dorothea R schmann, Dorothea Röschmann"
The Blob,83 mins.,,,,
Mad Love (Other),93,Drama,06/02/2015,Antonia Bird,"Matthew Lillard, Joan Allen, Kevin Dunn, Drew Barrymore, Chris O'Donnell"
American Beauty (DVD),,Drama,,Sam Mendes,"Annette Bening, Larry Madaras, Carolyn Lassek, Kevin Spacey, Travis Baumann, Thora Birch, Alan Kaminsky, David Lazan, Tony Adler, Huston Beaumont, Ian Kay, Dean M. King, Janet Lonsdale, Barry Del Sherman, Bob Beemer, Bill Bernstein, Paula Abdul, Juliet Loveland, Chris Cooper, Dan Jinks, David Linck, Kenny King, Lee W. Lebaigue, Fort Atkinson, Wes Bentley, Alan Ball, Matthew Kimbrough, Mena Suvari, Trevor Jolly, Nancy Anderson, Brian Basham, Jim Johnson, Tariq Anwar, Jerry King, Jan K. Bergstrom"
Dr. Jekyll and Mr. Hyde (DVD),79 min,Horror,01/28/2014,John S. Robertson,"J. Malcolm Dunn, George Stevens, John Barrymore, Martha Mansfield, Nita Naldi, Louis Wolheim, Cecil Clovelly"
Tron: Legacy (DVD),125 min,"Action & Adventure, Anime & Animation",04/05/2011,Joseph Kosinski,"Ron Selmour, Garrett Hedlund, Bruce Boxleitner, Olivia Wilde, James Frain, Jeff Bridges"
Crash (Blu-ray),115 min,Drama,06/27/2006,Paul Haggis,"Sandra Bullock, Terrence Dashon Howard, Jennifer Esposito, Matt Dillon, Brendan Fraser, Don Cheadle, Shaun Toub, Eddie J. Fernandez, Ime Etuk, Eddie Fernandez"
The Transporter Collection (Blu-ray),179,Action & Adventure,05/15/2012,Corey Yuen,"Jason Statham, Qi Shu, Matt Schulze, Francois Berleand, Amber Valletta, Alessandro Gassman, Matthew Modine, Kate Nauta"
Aliens in the Attic (Blu-ray),86,Comedy,09/20/2016,,"Carter Jenkins, Austin Butler, Ashley Boettcher, Ashley Tisdale, Henri Young, Regan Young, Doris Roberts"
Animal Kingdom (DVD),113 min,Drama,01/18/2011,David Mich?d,"Joel Edgerton, James Frecheville, Guy Pearce, Luke Ford, Jacki Weaver, Ben Mendelsohn"
Herbie Hancock: Possibilities (DVD),90 mins.,Music,01/26/2010,Jon Fine,"Herbie Hancock, Raul Midón, Christina Aguilera, Sting, John Mayer, Santana, Raul Meraz"
Tyler Perry's Meet the Browns (Blu-ray),101 min,Comedy,07/01/2008,Tyler Perry,"Jenifer Lewis, Sofia Vergara, Kristopher Lofton, Frankie R. Faison, Frankie Faison, Margaret Avery, David A. Mann, Angela Bassett, Tamela J Mann, Rick Fox, Jennifer Lewis"
Transformers (DVD),143 min,"Drama, Action & Adventure",10/16/2007,Michael Bay,"Ronnie Sperling, Shia LaBeouf, Rachael Taylor, Rachel Taylor, Bernie Mac, Hugo Weaving, Michael 0'Neill, Tyrese Gibson, Megan Fox, Charlie Bodin, Pat Mulderrig, Josh Duhamel"
Flushed Away / Shark Tale (DVD),175 min,Family,,,
Marvel's Doctor Strange (DVD),115 min,Sci-Fi & Fantasy,02/28/2017,Scott Derrickson,"Rachel McAdams, Chiwetel Ejiofor, Benedict Cumberbatch"
Air Bud (Special Edition) (DVD),98 min,Anime & Animation,04/23/2012,Richard Martin,"Bill Cobbs, Eric Christmas, Wendy Makkena, Kevin Zegers, Frank C. Turner, Christine Kennedy, Michael Jeter"
The Towering Inferno (Blu-ray),165 min,Action & Adventure,07/14/2009,John Guillermin,"Rob Wagner, Fred Astaire, Faye Dunaway, Richard Chamberlain, Carol McEvoy, Steve McQueen, Paul Newman, William Holden, Carlena Gower"
The Mermaid (DVD),94,"Drama, Comedy",07/05/2016,Stephen Chow,"Chao Deng, Yun Lin, Show Luo, Yuqi Zhang, Pierre Bourdaud"
Pink Floyd: DVD Collector's Box (DVD),145,"Documentary, Music & Performance",03/10/2015,,Pink Floyd
Houseboat (DVD),109 min,Romance,,Melville Shavelson,"Harry Guardino, Sophia Loren, Jack Rose, Paul Petersen, Cary Grant, Peggy Connelly, Martha Hyer, Eduardo Ciannelli"
Wishcraft,102 mins.,Horror,01/21/2003,Danny Graves,"Michael Weston, Alexandra Holden"
War Favorites: 5-Movie Collection (DVD),414 min,Drama,,,"Ronald Reagan, Jimmy Stewart, James Cagney, James Stewart"
Rush Hour 1-3 Collection (DVD),273 min,Comedy,03/29/2011,Brett Ratner,"Michael Chow, Ken Leung, Kai Lennox, Tom Wilkinson, Yan Lin (Yan Lin), Chris Tucker, Robert Littman, Tzi Ma, Elizabeth Pena, Roger Fan, Christopher Penn, Jackie Chan, Philip B. Hall, Rex Linn"
Black Sabbath: The Last Supper (DVD),107 mins.,Music,,Jeb Brien,"Black Sabbath, Geezer Butler, Tony Iommi, Ozzy Osbourne, Bill Ward"
Island of the Living Dead (DVD),96 min,Horror,02/10/2015,Bruno Mattei,Gaetano Russo
The Three Stooges Collection: Volume Eight 1955-1959 (DVD),176 min,Comedy,06/01/2010,,"Larry Fine, Moe Howard, Shemp Howard, Joe Besser"
Andrea Bocelli & David Foster: My Christmas (DVD),80,Music & Performance,12/08/2009,David Horn,"David Foster, Reba McEntire, Natalie Cole, Andrea Bocelli, Mary J. Blige"
Snow White and The Huntsman (Blu-ray + Digital HD),128 min,"Drama, Action & Adventure",03/08/2016,Rupert Sanders,"Chris Hemsworth, Kristen Stewart, Brian Gleeson, Toby Jones, Sam Spruell, Johnny Harris, Ian McShane, Eddie Marsan, Vincent Regan, Nick Frost, Bob Hoskins, Sam Claflin, Ray Winstone, Charlize Theron"
NCIS: The Thirteenth Season (DVD),1013 min,"Comedy, Action & Adventure",08/23/2016,,"Rocky Carroll,Brian Dietzen,Mark Harmon"
Anything for Love (DVD),85 min,Drama,01/17/2017,,Erika Christensen
Dan & Phil 2018 World Tour: Interactive Introverts (Blu-ray),,Comedy,,,
TCM Greatest Classic Films: Legends - Cary Grant Vol. 2: Sylvia Scarlett / Gunga Din / Destination Tokyo / Arsenic And Old Lace,494 mins.,Drama,12/02/2014,"Frank Capra, George Stevens, George Cukor, Delmer Daves","Douglas Fairbanks Jr., John Garfield, Victor McLaglen, Cary Grant, Katharine Hepburn"
One Punch Man (Blu-ray),456 mins.,"Foreign, Action & Adventure",,,
One Million Years B.C. (Blu-ray),100 min,Adventure,,Don Chaffey,Raquel Welch
Naruto Shippuden Uncut Set 7 (DVD),275,Foreign,07/12/2011,,
Family Guy: Partial Terms of Endearment (DVD),111 min,Animation & Cartoons,09/28/2010,,"Seth Green, Alex Borstein, Mila Kunis, Seth MacFarlane"
Drift (Blu-ray),80,Drama,09/17/2013,Morgan O'Neill,"Lesley Ann Brandt, Xavier Samuel, Robyn Malcolm, Myles Pollard, Sam Worthington"
Andrea Bocelli: Vivere: Live in Tuscany (DVD + CD),137 mins.,Music & Performance,01/29/2008,David Horn,"Kenny G., Chris Botti, David Foster, Kenny G, Lang Lang, Andrea Bocelli"
Eat Drink Man Woman (DVD),124 min,Drama,02/24/2015,Ang Lee,Winston Chao
The Main Event (DVD),109 min,"Sci-Fi & Fantasy, Drama, Comedy",,Howard Zieff,"Ryan O'Neal, James Gregory, Patti D'Arbanville, Paul Sand"
Big Shot - Confessions of a Campus Bookie,88 mins.,,06/03/2003,,"David Krumholtz, Nicholas Turturro"
WALL-E (DVD),98 min,"Action & Adventure, Anime & Animation",11/18/2008,Andrew Stanton,"Elissa Knight, Macintalk, Jeff Garlin, Benjamin Burtt, Ben Burtt, Fred Willard"
Mike and Dave Need Wedding Dates (Blu-ray),99 min,Comedy,09/27/2016,Jake Szymanski,"Anna Kendrick, Adam Devine, Zac Efron"
"Love American Style: Season 1, Volume 2 (DVD)",622 min,,03/11/2008,,"Barbara Minkus, Tracy Reed, Mary Grover, Stuart Margolin, William Callaway"
Mary Poppins (50th Anniversary Edition) (Blu-ray + DVD + Digital Copy),,,,,
The Quiet Man (DVD),129 min,Comedy,01/29/2013,John Ford,"John Wayne, Barry Fitzgerald, Ward Bond, Charles FitzSimons, Jack McGowran, Victor McLaglen, Maureen O'Hara"
Metamorphosis: The Alien Factor (DVD),96,Horror,10/14/2003,Glenn Takakjian,"Patrick Barnes, Tony Gigante, Dianna Flaherty, Marcus Powell, Katherine Romaine, Tara Leigh, George Gerard"
This Is Where I Leave You (Other),120 min,Comedy,12/09/2014,Shawn Levy,"Corey Stoll, Jason Bateman, Adam Driver, Patrick DeLuca, Jane Fonda, Kathryn Hahn, Tina Fey"
Indigenous (DVD),86 mins.,Horror,01/05/2016,Alastair Orr,"Jamie Anderson, Lindsey McKeon, Zachary Soetenga, Pierson Fode, Laura Penuela, Juanxo Villaverde, Sofia Pernas"
The Wizard Of Oz: 75th Anniversary Collector's Edition (3D Blu-ray + Blu-ray + DVD + Digital HD),102,Kids & Family,10/01/2013,Victor Fleming,"The Singer Midgets, Bert Lahr, John T. Bambury, Josefine Balluck, Mitchell Lewis, Judy Garland, Billie Burke, Lady Ethel, Viola Banks, Frank Morgan, Clara Blandick, Jack Haley, Ray Bolger, Prince Denis, Lois January, Gladys W. Allison, Margaret Hamilton, Charley Grapewin, Pat Walshe"
Avengers: Age of Ultron (Blu-ray + Digital),141 min,Action & Adventure,,"Joss Whedon, Kevin Feige","Robert Downey Jr., Chris Evans, Chris Hemsworth• The Hulk/Bruce Banner: Mark Ruffalo, Scarlett Johansson, Jeremy Renner, Samuel L Jackson, Cobie Smulders, Anthony Mackie, Don Cheadle, Elizabeth Olsen, Aaron Taylor-Johnson, James Spader"
The Divergent Series: Allegiant (Blu-ray),120 min,"Drama, Action & Adventure",07/12/2016,Robert Schwentke,"Jeff Daniels, Shailene Woodley, Theo James"
JIMI HENDRIX -LIVE AT THE FILLMORE EAST,130,,08/05/2003,,
Fight Club (DVD),139,Action & Adventure,10/14/2008,David Fincher,"Chuck Palahniuk, Richmond Arquette, Eugenie Bondurant, Christie Cronenweth, David Andrews, Brad Pitt, Tim de Zarn, Rachel Singer, George Maguire, Jared Leto, Helena Bonham Carter, Jim Uhls, Meat Loaf, Sydney Colston (Big Dawg), Ezra Buzzington, Edward Norton"
Brad Paisley: Life Amplified World Tour Live from WVU (DVD),120 mins.,Music & Performance,,,
Ghostbusters 1 & 2 (DVD),,Comedy,,Ivan Reitman,"Kurt Fuller, David Margulies, Alice Drummond, Dan Aykroyd, Slavitza Jovan, Ernie Hudson, Wilhelm von Homburg, Steven Tash, Brian Buck, Harold Ramis, William Atherton, Michael Ensign, Jordan Charney, Harris Yulin, Peter MacNicol, Jennifer Runyon, Sigourney Weaver, Annie Potts, Bill Murray, Rick Moranis"
Delirious (DVD),96 min,"Sci-Fi & Fantasy, Drama",02/02/2016,Tom Mankiewicz,"Mariel Hemingway, Emma Samms, John Candy"
Alien Vs. Predator (DVD),101 min,Action,09/05/2006,Paul W.S. Anderson,"Colin Salmon, Ewen Bremner, Sanaa Lathan, Raoul Bova, Lance Henriksen"
The Women (Snap case),132,,07/02/2002,,"Joan Crawford, Rosalind Russell, Norma Shearer, Paulette Goddard, Joan Fontaine, Marjorie Main, Lucile Watson, Hedda Hopper, Mary Cecil, Mary Boland, Florence Nash, Ruth Hussey, Virginia Grey"
Nine Lives (DVD),87 min,Comedy,11/01/2016,Barry Sonnenfeld,"Christopher Walken, Kevin Spacey, Jennifer Garner"
Brave (DVD),95 min,"Action & Adventure, Anime & Animation",11/13/2012,Mark Andrews,"The London Symphony Orchestra, Steve Purcell, Sally Kinghorne, Kevin McKidd, Emma Thompson, Eilidh Fraser, Patrick Doyle, Julie Walters, Steven Cree, Billy Connolly, Kelly MacDonald, Peigi Barker, Callum O'Neill"
Private Lessons (Blu-ray),97,Music & Performance,11/22/2016,,"Sylvia Kristel, Howard Hesseman, Eric Brown, Ed Begley Jr."
The Little Rascals: Vol. 2 (DVD),203 min,,04/12/2011,,"Mary Ann Jackson, Allen Hoskins (Farina), Del Henderson, William Gillespie, Oscar Apfel, Norman Chaney (Chubby), Shirley Jean Rickert, Clifton Young, Margaret Mann, Matthew Beard (Stymie), Donald Haines, Jackie Cooper, Bobby ""Wheezer"" Hutchins, Dorothy DeBorba"
When Calls the Heart: The Greatest Blessing (DVD),88 min,Romance,,,"Lori Loughlin, Martin Cummins"
Film Noir Collection Classics: Volume 5 (DVD),683 min,"Drama, Mystery & Suspense",,,
She's the Man (DVD),95 mins.,Sci-Fi & Fantasy,,Andy Fickman,"James Kirk, Channing Tatum, Vinnie Jones, Laura Ramsey, Amanda Bynes, Julie Hagerty"
Every Which Way But Loose / Any Which Way You Can / Honkytonk Man (Blu-ray),225 min,Comedy,,James Fargo,"Michael Cavanaugh, Harry Guardino, William O'Connell, Bill McKinney, William Smith, George Chandler, Geoffrey Lewis, Beverly D'Angelo, Dan Vadis, Clint Eastwood, James McEachin, Ruth Gordon, Roy Jenson, Janet Cole Notey, Al Ruscio, Sondra Locke, Walter Barnes, Barry Corbin, John Quade, Gregory Walcott, Camila Ashland"
The Good Dinosaur (DVD),93 min,Anime & Animation,02/23/2016,Peter Sohn,"Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla"
Ice Age: The Great Egg-Scapade (DVD + Digital HD),21 min,Kids & Family,,,
Smokey and the Bandit (Blu-ray),192 mins.,"Comedy, Action & Adventure",,,
The Art of Getting By (DVD),84 min,Drama,11/29/2011,Gavin Wiesen,"Freddie Highmore, Ann Dowd, Emma Roberts, Rita Wilson, Jarleth Conroy, Marcus Carl Franklin, Sam Robards, Michael Angarano, Sasha Spielberg, Elizabeth Reaser, Blair Underwood"
Child 44 (Blu-ray),137,Drama,08/04/2015,Daniel Espinosa,"Gary Oldman, Tom Hardy"
Leprechaun: Origins (DVD),98,"Drama, Horror",09/30/2014,Zach Lipovsky,"Garry Chalk, Teach Grant, Emilie Ullerup, Melissa Roxburgh, Stephanie Bennett, Dylan Postl, Brendan Fletcher, Andrew Dunbar"
Alvin and the Chipmunks (DVD),90 min,Action & Adventure,04/01/2008,Tim Hill,"Adriane Lenox, Veronica Alicino, Tiara Parker, Allison Karman, Kira Verrastro, Jane Lynch, Cameron Richardson, Justin Long, Jason Lee, David Cross"
"star wars, episode ii: attack of the clones (full screen edition)",142 mins.,"Sci-Fi & Fantasy, Action & Adventure",11/12/2002,George Lucas,"Frank Oz, Rose Byrne, Kenny Baker, Silas Carson, Temuera Morrison, Leeanna Walsman, Ronald Falk, Ahmed Best, Andrew Secombe, Jay Laga'aia, Pernilla August, Oliver Ford Davies, Ian McDiarmid, Jimmy Smits, Anthony Daniels, Jack Thompson"
Crocodile Dundee / Crocodile Dundee II (DVD),205,Comedy,03/12/2013,Various,"Paul Hogan, Linda Kozlowski"
The Statler Brothers: Farewell Concert (DVD),90,Music & Performance,04/23/2013,Jim Yockey,"Vaughn Thomas, Jerry Hensley, Tommy Starnes, Scott Cash, Don Morton"
Solo: A Star Wars Story (Blu-ray + Digital Code),135 min,Sci-Fi & Fantasy,,Ron Howard,"Erin Kellyman, Thandie Newton, Donald Glover, Jon Favreau, Phoebe Waller-Bridge, Woody Harrelson, Alden Ehrenreich, Emilia Clarke, Joonas Suotamo, Paul Bettany"
The Lincoln Lawyer (DVD),119 min,Action & Adventure,07/12/2011,Brad Furman,"Marisa Tomei, Matthew McConaughey, Ryan Phillippe, Michael Pe a, William H. Macy, Michael Peña, Pell James, Shea Whigham, Inari Vachs, Tommy Lee Jones"
American Graffiti (DVD),113 min,Comedy,05/31/2011,George Lucas,"Chris Pray, Manuel Padilla Jr., Cindy Williams, Ron Howard, Paul Le Mat, Charles Martin Smith, Candy Clark, Richard Dreyfuss"
SILVER SCREEN SERIES V05 (DVD) (DVD),347 min,Drama,08/02/2005,"John Cromwell, William Wellman, Jean Renoir, Melville Brown","Zachary Scott, Barbara Stanwyck, Bette Davis"
Adventures In Babysitting (DVD),102 min,Anime & Animation,01/18/2000,Todd Hallowell,"Keith Coogan, Calvin Levels, Elisabeth Shue, John Chandler, Maia Brewton, Vincent D'Onofrio, Daniel Ziskie, Anthony Rapp"
Kentucky Fried Movie (Blu-ray),83 min,Comedy,07/02/2013,John Landis,"Bill Bixby, Betsy Genson, Bill Breslau, John Landis, George Lazenby, David Zucker, Donald Sutherland, Mallory Sandler, Tony Dow, Henry Gibson, Michael Hanks, Larry Curan, Richard A. Baker"
Rhapsody In Blue (DVD),151 min,Music & Performance,01/31/2012,Irving Rapper,"Alexis Smith, Charles Coburn, Joan Leslie, Julie Bishop, Anne Brown, Herbert Rudley, Hazel Scott, Paul Whiteman, Rosemary DeCamp, Robert Alda, Al Jolson, George White, Oscar Levant"
To Catch A Thief (DVD),106 min,Romance,,Alfred Hitchcock,"Jesse Royce Landis, Grace Kelly, Ren? Blancard, Charles Vanel, Cary Grant, Jessie Royce Landis, John Williams, Roland Lesaffre, Edward Manouk"
Yu-Gi-Oh: Dark Side of Dimensions (DVD),,"Kids & Family, Action & Adventure, Anime & Animation",,Satoshi Kuwabara,
Austenland (DVD),97 min,Comedy,01/28/2014,Jerusha Hess,"Ricky Whittle, Jennifer Coolidge, Keri Russell, James Callis, J.J. Feild, JJ Feild, Bret McKenzie, J J Field"
X-Men Trilogy (Blu-ray),342 min,Action & Adventure,04/19/2016,,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden"
Forces Of Nature [dvd],106,"Romance, Comedy",11/02/1999,Bronwen Hughes,"Sandra Bullock, Ben Affleck, Maura Tierney, Steve Zahn, Blythe Danner, Ronny Cox"
Alice in Wonderland (DVD),108 min,Anime & Animation,06/01/2010,Tim Burton,"Matt Lucas, Helena Bonham Carter, Johnny Depp, Anne Hathaway, Jemma Powell, Crispin Glover, Frances de la Tour, Mia Wasikowska"
